Timer,ID,Station,Code Station,Ebikes,Mechanical Bikes,Bikes Available,Docks Available,Capacity,Is Renting,Is Installed,Is Returning,Coordonnees Geo
2025-11-13 15:03:03,45ec1c364c730b0cbc76cd21dce37e8cfa2ed5d2,Hôpital Mondor,40001,11,5,16,12,28,OUI,OUI,OUI,"[48.798922410229, 2.4537451531298]"
2025-11-13 15:03:03,bcf1fc63c6969f53bc10204950dfe7fe5dc15564,Cassini - Denfert-Rochereau,14111,2,1,3,21,25,OUI,OUI,OUI,"[48.837525839067, 2.3360354080796]"
2025-11-13 15:03:03,c1c3dd7da148cecc54c338fd2fd7470a137e8814,Charonne - Robert et Sonia Delaunay,11104,2,2,4,16,20,OUI,OUI,OUI,"[48.855907555969, 2.3925706744194]"
2025-11-13 15:03:03,4facb33d6cd129b9aa644f3d2d17aa02cd264663,Messine - Place Du Pérou,8026,3,5,8,4,12,OUI,OUI,OUI,"[48.875448033960744, 2.315508019010038]"
2025-11-13 15:03:03,c60ea1973b8329b42d372a5837f0565be57e1651,Pierre et Marie Curie - Maurice Thorez,42016,3,2,5,21,27,OUI,OUI,OUI,"[48.81580226360801, 2.376804985105991]"
2025-11-13 15:03:03,ae191e0fc9cdc9f3adce0d4983ab7b48d0bbec74,Silly - Galliéni,21010,1,18,19,6,25,OUI,OUI,OUI,"[48.835583838706, 2.2325500845909]"
2025-11-13 15:03:03,cc83aaf4fb09eaf7ff0b2a3809e1aeadab89f7a1,Mairie du 12ème,12109,1,5,6,24,30,OUI,OUI,OUI,"[48.840855311763, 2.3875549435616]"
2025-11-13 15:03:03,92e3c1688b586c2b0b42c26d35fcad02d29e4eba,Beaux-Arts - Bonaparte,6021,9,9,18,1,20,OUI,OUI,OUI,"[48.856451985396, 2.3348518833518]"
2025-11-13 15:03:03,10e671a319b31ea73e309a10c4126980538a7b03,Bracion - Périphérique,15202,8,3,11,19,30,OUI,OUI,OUI,"[48.826103771275, 2.3004549373748]"
2025-11-13 15:03:03,5f25f2976f13c13f19423b304aff0fff86983c6c,Le Brun - Gobelins,13007,5,2,7,41,48,OUI,OUI,OUI,"[48.835092787824, 2.3534681351338]"
2025-11-13 15:03:03,30260c05ba8204af0972a9b9756b4b7e99b1af5c,Place des Marseillais,42208,3,2,5,30,35,OUI,OUI,OUI,"[48.826605522232, 2.4059119927899]"
2025-11-13 15:03:03,2b0b020363431b08fc1b5f2bbb2df28d84b89c61,Boétie - Ponthieu,8050,20,23,43,2,45,OUI,OUI,OUI,"[48.871417284355, 2.3076787590981]"
2025-11-13 15:03:03,97581acf9324222d188e1ec2502735281f21ebea,Le Brix et Mesmin - Jourdan,14108,3,0,3,18,21,OUI,OUI,OUI,"[48.82234096593411, 2.327861653302471]"
2025-11-13 15:03:03,a650e5c1564573acb04f4187cb89aa0dbe13b7eb,Mairie de Clichy,21108,5,19,24,26,51,OUI,OUI,OUI,"[48.903653634661, 2.3059353232384]"
2025-11-13 15:03:03,67493d23df85784410b764f2a5ab662df99e26e4,Saint-Fiacre - Poissonière,2022,15,18,33,1,35,OUI,OUI,OUI,"[48.870828911558, 2.3459213599563]"
2025-11-13 15:03:03,64d70e43f9929698e4fe99c87792641195998e18,Cambrai - Benjamin Constant,19033,6,3,9,33,43,OUI,OUI,OUI,"[48.89594736851349, 2.381133802246315]"
2025-11-13 15:03:03,2052a61e2a769c26eebd4a8770a8caf6dc703294,Chazelles - Courcelles,17025,6,0,6,29,35,OUI,OUI,OUI,"[48.879406604954, 2.3034455627202988]"
2025-11-13 15:03:03,a245262e4cae7ee37314cd9505822f96953e70c7,Moulin de Pierre - Abbé Grégoire,21326,6,0,6,14,20,OUI,OUI,OUI,"[48.822036188382, 2.2754641655975]"
2025-11-13 15:03:03,07cce8ac2c02c09ff74b888c2d5acf0c12d36a82,Lagny - Victor Basch,43002,6,14,20,6,26,OUI,OUI,OUI,"[48.84884147189881, 2.426325418925233]"
2025-11-13 15:03:03,143b5e58adb0b49b3fef3e31c1d7a1218837bb9b,Saint-Cloud - Hippodrome,16138,0,1,1,29,30,OUI,OUI,OUI,"[48.85772148887421, 2.2549109905958176]"
2025-11-13 15:03:03,493daf38f2d9df67c0f7d94d15140f0e726084e9,Louis Lejeune - Barbès,21216,3,0,3,21,25,OUI,OUI,OUI,"[48.81807418981508, 2.3267009854316716]"
2025-11-13 15:03:03,34079ef1e3e7afdbca696a2eb9278fa6e9f95a01,Général Martial Valin - Pont du Garigliano,15068,6,5,11,4,16,OUI,OUI,OUI,"[48.83823094269141, 2.270506024360657]"
